Title,Genre,Link
MBDI Sebut Mercedes-Benz EQE Nyangkut di Pembatas Tol JORR Murni Kecelakaan,otomotif,https://otomotif.tempo.co/read/1739932/mbdi-sebut-mercedes-benz-eqe-nyangkut-di-pembatas-tol-jorr-murni-kecelakaan
Mobil Listrik Mercedes-Benz EQE yang Kecelakaan di JORR Punya Fitur Keselamatan Canggih,gooto,https://www.gooto.com/read/1739810/mobil-listrik-mercedes-benz-eqe-yang-kecelakaan-di-jorr-punya-fitur-keselamatan-canggih
"Mobil Listrik Mercedes-Benz EQE Kecelakaan di Tol JORR, Nyangkut di Pembatas Jalan",otomotif,https://otomotif.tempo.co/read/1739710/mobil-listrik-mercedes-benz-eqe-kecelakaan-di-tol-jorr-nyangkut-di-pembatas-jalan
"Komunitas Ojol Rela Patungan untuk Perbaiki Jalan Rusak di Bekasi, Sering Terjadi Kecelakaan ",metro,https://metro.tempo.co/read/1739554/komunitas-ojol-rela-patungan-untuk-perbaiki-jalan-rusak-di-bekasi-sering-terjadi-kecelakaan
"Sopir TransJakarta yang Terlibat Kecelakaan di Pondok Cabe Divonis 8 Bulan Penjara, Keluarga Korban Kecewa     ",metro,https://metro.tempo.co/read/1738914/sopir-transjakarta-yang-terlibat-kecelakaan-di-pondok-cabe-divonis-8-bulan-penjara-keluarga-korban-kecewa
Cara Klaim Jasa Raharja Korban Kecelakaan dan Syaratnya Lengkap ,otomotif,https://otomotif.tempo.co/read/1738893/cara-klaim-jasa-raharja-korban-kecelakaan-dan-syaratnya-lengkap
Jepang Puji MRT Jakarta karena Belum Pernah Ada Kecelakaan dan Tepat Waktu,metro,https://metro.tempo.co/read/1738780/jepang-puji-mrt-jakarta-karena-belum-pernah-ada-kecelakaan-dan-tepat-waktu
Hampir 300 Warga Pakistan Diduga Tewas dalam Kecelakaan Kapal Migran di Yunani,dunia,https://dunia.tempo.co/read/1738688/hampir-300-warga-pakistan-diduga-tewas-dalam-kecelakaan-kapal-migran-di-yunani
"Tragedi Kecelakaan Kapal Migran Yunani, Pakistan Tangkap 10 Tersangka Perdagangan Manusia",dunia,https://dunia.tempo.co/read/1738640/tragedi-kecelakaan-kapal-migran-yunani-pakistan-tangkap-10-tersangka-perdagangan-manusia
"Kecelakaan Lalu Lintas di Sumbar Naik 8,6 Persen Pada Mei 2023, Apa Penyebabnya?",nasional,https://nasional.tempo.co/read/1738631/kecelakaan-lalu-lintas-di-sumbar-naik-86-persen-pada-mei-2023-apa-penyebabnya
Harapan Menemukan Korban Selamat dalam Kecelakaan Kapal Imigran di Yunani Menipis,dunia,https://dunia.tempo.co/read/1738129/harapan-menemukan-korban-selamat-dalam-kecelakaan-kapal-imigran-di-yunani-menipis
"Setidaknya 79 Tenggelam, Ratusan Imigran Hilang dalam Kecelakaan Kapal di Yunani",dunia,https://dunia.tempo.co/read/1737437/setidaknya-79-tenggelam-ratusan-imigran-hilang-dalam-kecelakaan-kapal-di-yunani
Dua Puluh Dua Tentara AS Cedera dalam Kecelakaan Helikopter Misterius di Suriah,dunia,https://dunia.tempo.co/read/1736800/dua-puluh-dua-tentara-as-cedera-dalam-kecelakaan-helikopter-misterius-di-suriah
Rider Pertamina Mandalika Sukses Hindari Kecelakaan di Moto2 Italia,otomotif,https://otomotif.tempo.co/read/1736245/rider-pertamina-mandalika-sukses-hindari-kecelakaan-di-moto2-italia
"Bus Rombongan Pengantin Kecelakaan di Australia, 10 Tewas dan 25 Luka-luka",dunia,https://dunia.tempo.co/read/1736271/bus-rombongan-pengantin-kecelakaan-di-australia-10-tewas-dan-25-luka-luka
Kecelakaan Kereta Api India Kemungkinan karena Sinyal Digerakkan Secara Manual,dunia,https://dunia.tempo.co/read/1736026/kecelakaan-kereta-api-india-kemungkinan-karena-sinyal-digerakkan-secara-manual
Kondisi Kesehatan Anak-anak Penyintas Kecelakaan Pesawat di Hutan Kolombia Stabil,dunia,https://dunia.tempo.co/read/1736010/kondisi-kesehatan-anak-anak-penyintas-kecelakaan-pesawat-di-hutan-kolombia-stabil
Tulang Kering Alex Rins Patah Usai Kecelakaan di Sprint Race MotoGP Italia,otomotif,https://otomotif.tempo.co/read/1735978/tulang-kering-alex-rins-patah-usai-kecelakaan-di-sprint-race-motogp-italia
"4 Bocah Kolombia Selamat dari Kecelakaan Pesawat, 40 Hari Tersesat di Amazon",dunia,https://dunia.tempo.co/read/1735810/4-bocah-kolombia-selamat-dari-kecelakaan-pesawat-40-hari-tersesat-di-amazon
Nissan Kembangkan LIDAR untuk Menghindari Kecelakaan di Persimpangan,gooto,https://www.gooto.com/read/1735674/nissan-kembangkan-lidar-untuk-menghindari-kecelakaan-di-persimpangan
Tingkat Kepatuhan Penyampaian Laporan Awal Kecelakaan Kerja Perusahaan Tambang di Bangka Belitung Rendah,bisnis,https://bisnis.tempo.co/read/1734700/tingkat-kepatuhan-penyampaian-laporan-awal-kecelakaan-kerja-perusahaan-tambang-di-bangka-belitung-rendah
"Kecelakaan di Cengkareng, Seorang Wanita Pengendara Motor Tewas Terlindas Truk Trailer ",metro,https://metro.tempo.co/read/1734596/kecelakaan-di-cengkareng-seorang-wanita-pengendara-motor-tewas-terlindas-truk-trailer
"Kecelakaan Kereta di India: 100 Korban Belum Dikenali, Keluarga Berebut Jenazah",dunia,https://dunia.tempo.co/read/1734307/kecelakaan-kereta-di-india-100-korban-belum-dikenali-keluarga-berebut-jenazah
Kesalahan Pindah Jalur Diduga Jadi Penyebab Kecelakaan Kereta di India,dunia,https://dunia.tempo.co/read/1734176/kesalahan-pindah-jalur-diduga-jadi-penyebab-kecelakaan-kereta-di-india
Kecelakaan Kereta India: Upaya Modernisasi yang Belum Tuntas ,fokus,https://fokus.tempo.co/read/1734106/kecelakaan-kereta-india-upaya-modernisasi-yang-belum-tuntas
5 Kecelakaan Kereta Api dengan Korban Jiwa Paling Banyak di Dunia,dunia,https://dunia.tempo.co/read/1733975/5-kecelakaan-kereta-api-dengan-korban-jiwa-paling-banyak-di-dunia
"Top 3 Dunia: Kecelakaan Kereta di India, Usulan Damai Prabowo, Latihan Gabungan AS-China",dunia,https://dunia.tempo.co/read/1733903/top-3-dunia-kecelakaan-kereta-di-india-usulan-damai-prabowo-latihan-gabungan-as-china
8 Daftar Kecelakaan Kereta Api Terparah di India,dunia,https://dunia.tempo.co/read/1733918/8-daftar-kecelakaan-kereta-api-terparah-di-india
Penyelidikan Resmi Kecelakaan Kereta di India Dimulai,dunia,https://dunia.tempo.co/read/1733792/penyelidikan-resmi-kecelakaan-kereta-di-india-dimulai
Layanan Kereta India Kembali Beroperasi 51 Jam setelah Kecelakaan Maut,dunia,https://dunia.tempo.co/read/1733767/layanan-kereta-india-kembali-beroperasi-51-jam-setelah-kecelakaan-maut
Kecelakaan Kereta di India Diduga karena Sistem Manajemen Jalur Elektronik Tak Berfungsi,dunia,https://dunia.tempo.co/read/1733582/kecelakaan-kereta-di-india-diduga-karena-sistem-manajemen-jalur-elektronik-tak-berfungsi
"Waspada Kecelakaan, Ini 7 Tips Naik Kereta Api supaya Aman dan Nyaman  ",travel,https://travel.tempo.co/read/1733576/waspada-kecelakaan-ini-7-tips-naik-kereta-api-supaya-aman-dan-nyaman
10 Kecelakaan Kereta Api Terparah Sepanjang Sejarah,dunia,https://dunia.tempo.co/read/1733483/10-kecelakaan-kereta-api-terparah-sepanjang-sejarah
"Top 3 Dunia: Kecelakaan Kereta, Usulan Indonesia Ditolak Ukraina, Baku Tembak Mesir-Israel",dunia,https://dunia.tempo.co/read/1733480/top-3-dunia-kecelakaan-kereta-usulan-indonesia-ditolak-ukraina-baku-tembak-mesir-israel
India Tuntaskan Operasi Penyelamatan Kecelakaan Kereta Api di Odisha,dunia,https://dunia.tempo.co/read/1733468/india-tuntaskan-operasi-penyelamatan-kecelakaan-kereta-api-di-odisha
"Detik-detik Kecelakaan Kereta di India, Korban: Ada Suara Ledakan, Lalu Semua Gelap ",dunia,https://dunia.tempo.co/read/1733392/detik-detik-kecelakaan-kereta-di-india-korban-ada-suara-ledakan-lalu-semua-gelap
Pembalap Jagoan Anies Baswedan Kecelakaan di Formula E Jakarta,otomotif,https://otomotif.tempo.co/read/1733200/pembalap-jagoan-anies-baswedan-kecelakaan-di-formula-e-jakarta
"Korban Tewas Kecelakaan Kereta di India Jadi 288 Orang, Mayat Terjepit di Gerbong",dunia,https://dunia.tempo.co/read/1733275/korban-tewas-kecelakaan-kereta-di-india-jadi-288-orang-mayat-terjepit-di-gerbong
India dan Sejarah Kelam Kecelakaan Kereta Api yang Paling Mematikan,dunia,https://dunia.tempo.co/read/1733198/india-dan-sejarah-kelam-kecelakaan-kereta-api-yang-paling-mematikan
WNA Asal Tiongkok Tewas dalam Kecelakaan di Tol Jakarta - Tangerang,metro,https://metro.tempo.co/read/1733171/wna-asal-tiongkok-tewas-dalam-kecelakaan-di-tol-jakarta-tangerang
"Kecelakaan Kereta Api di India: Libatkan Tiga Kereta, Tewaskan 261 Orang",travel,https://travel.tempo.co/read/1733166/kecelakaan-kereta-api-di-india-libatkan-tiga-kereta-tewaskan-261-orang
Setidaknya 261 Orang Tewas dalam Kecelakaan Kereta Api di India,dunia,https://dunia.tempo.co/read/1733147/setidaknya-261-orang-tewas-dalam-kecelakaan-kereta-api-di-india
Fakta-fakta Kecelakaan Kereta Paling Mematikan di India: Ratusan Korban yang Libatkan Tiga Kereta,dunia,https://dunia.tempo.co/read/1733076/fakta-fakta-kecelakaan-kereta-paling-mematikan-di-india-ratusan-korban-yang-libatkan-tiga-kereta
Detik-detik Kecelakaan Kereta Maut di India yang Tewaskan 233 Orang,dunia,https://dunia.tempo.co/read/1732997/detik-detik-kecelakaan-kereta-maut-di-india-yang-tewaskan-233-orang
Kecelakaan Kereta Maut di India: Sedikitnya 207 Orang Tewas dan 900 Terluka,dunia,https://dunia.tempo.co/read/1732974/kecelakaan-kereta-maut-di-india-sedikitnya-207-orang-tewas-dan-900-terluka
"Cegah Kecelakaan saat Mengemudi, Hindari Lakukan Hal Berikut",gaya,https://gaya.tempo.co/read/1732893/cegah-kecelakaan-saat-mengemudi-hindari-lakukan-hal-berikut
"Korban Meninggal Kecelakaan Bus di Guci Bertambah, Sempat Dirawat Intensif di RS PON",metro,https://metro.tempo.co/read/1731920/korban-meninggal-kecelakaan-bus-di-guci-bertambah-sempat-dirawat-intensif-di-rs-pon
"Profil Angela Lee, Selebgram Barbie Jowo yang Alami Kecelakaan",seleb,https://seleb.tempo.co/read/1731224/profil-angela-lee-selebgram-barbie-jowo-yang-alami-kecelakaan
Pengamat Sebut Insentif Motor Listrik Tingkatkan Kecelakaan Lalu Lintas,otomotif,https://otomotif.tempo.co/read/1730769/pengamat-sebut-insentif-motor-listrik-tingkatkan-kecelakaan-lalu-lintas
Pengamat Nilai Insentif Motor Listrik Justru Mendorong Peningkatan Kecelakaan Lalu Lintas,bisnis,https://bisnis.tempo.co/read/1730737/pengamat-nilai-insentif-motor-listrik-justru-mendorong-peningkatan-kecelakaan-lalu-lintas
"F1 GP Monako: Max Verstappen Pole, Sergio Perez Kecelakaan",otomotif,https://otomotif.tempo.co/read/1730656/f1-gp-monako-max-verstappen-pole-sergio-perez-kecelakaan
"Carlos Sainz Kecelakaan di FP2 Formula 1 Monako, Bagaimana Kondisinya?",otomotif,https://otomotif.tempo.co/read/1730500/carlos-sainz-kecelakaan-di-fp2-formula-1-monako-bagaimana-kondisinya
"Kisah Peserta UTBK 2023, Kecelakaan Motor Menuju Lokasi Ujian",tekno,https://tekno.tempo.co/read/1729017/kisah-peserta-utbk-2023-kecelakaan-motor-menuju-lokasi-ujian
Francesco Bagnaia Alami Patah Tulang Talus Usai Kecelakaan di MotoGP Prancis,otomotif,https://otomotif.tempo.co/read/1728366/francesco-bagnaia-alami-patah-tulang-talus-usai-kecelakaan-di-motogp-prancis
"Kecelakaan Pesawat di Swiss dan Kroasia, Sedikitnya Tiga Orang Tewas",dunia,https://dunia.tempo.co/read/1728075/kecelakaan-pesawat-di-swiss-dan-kroasia-sedikitnya-tiga-orang-tewas
