,index,Title,Genre,Link
1333,1333,Anak-anak dan remaja di AS lebih berpotensi tewas akibat senjata api,Dunia,https://www.antaranews.com/berita/3475353/anak-anak-dan-remaja-di-as-lebih-berpotensi-tewas-akibat-senjata-api
1334,1334,TNI AU bentuk tim investigasi prajurit Kopasgat jatuh terjun payung,Politik,https://www.antaranews.com/berita/3475224/tni-au-bentuk-tim-investigasi-prajurit-kopasgat-jatuh-terjun-payung
1335,1335,Basarnas evakuasi tiga penumpang kapal mati mesin di Buton Selatan,Humaniora,https://www.antaranews.com/berita/3475041/basarnas-evakuasi-tiga-penumpang-kapal-mati-mesin-di-buton-selatan
1336,1336,SKK Migas minta PetroChina cepat tanggap sikapi insiden yang terjadi,Ekonomi,https://www.antaranews.com/berita/3474480/skk-migas-minta-petrochina-cepat-tanggap-sikapi-insiden-yang-terjadi
1337,1337,Program Gojek Swadaya bantu menghemat biaya operasional mitra driver,Tekno,https://www.antaranews.com/berita/3474378/program-gojek-swadaya-bantu-menghemat-biaya-operasional-mitra-driver
1338,1338,Kepala Bakamla paparkan penanganan para pencari suaka melalui laut,Hukum,https://www.antaranews.com/berita/3474219/kepala-bakamla-paparkan-penanganan-para-pencari-suaka-melalui-laut
1339,1339,Kemnaker: Optimalisasi penerapan K3 hindari risiko kecelakaan kerja,Humaniora,https://www.antaranews.com/berita/3474171/kemnaker-optimalisasi-penerapan-k3-hindari-risiko-kecelakaan-kerja
1340,1340,Sumbar cari solusi untuk kenyamanan wisatawan pada libur lebaran 2023,Humaniora,https://www.antaranews.com/berita/3474063/sumbar-cari-solusi-untuk-kenyamanan-wisatawan-pada-libur-lebaran-2023
1341,1341,"Tekan angka kecelakaan, petugas razia kecepatan di jalan tol",Hukum,https://www.antaranews.com/video/3473859/tekan-angka-kecelakaan-petugas-razia-kecepatan-di-jalan-tol
1342,1342,Basarnas cari tiga penumpang kapal mati mesin di Buton Selatan,Humaniora,https://www.antaranews.com/berita/3473472/basarnas-cari-tiga-penumpang-kapal-mati-mesin-di-buton-selatan
1343,1343,Fondasi reaktor PLTN Fukushima kemungkinan rusak parah,Dunia,https://www.antaranews.com/berita/3473388/fondasi-reaktor-pltn-fukushima-kemungkinan-rusak-parah
1344,1344,Sepeda motor dinilai tidak aman untuk mudik Lebaran,Lifestyle,https://www.antaranews.com/berita/3473304/sepeda-motor-dinilai-tidak-aman-untuk-mudik-lebaran
1345,1345,Bakamla serahkan korban kapal tenggelam di Natuna kepada keluarga,Hukum,https://www.antaranews.com/berita/3473220/bakamla-serahkan-korban-kapal-tenggelam-di-natuna-kepada-keluarga
1346,1346,Ditlantas uji coba sistem satu arah dari Sicincin menuju Bukittinggi,Humaniora,https://www.antaranews.com/berita/3473052/ditlantas-uji-coba-sistem-satu-arah-dari-sicincin-menuju-bukittinggi
1347,1347,Polres Karawang sediakan mudik gratis dengan kuota 500 orang,Politik,https://www.antaranews.com/berita/3472938/polres-karawang-sediakan-mudik-gratis-dengan-kuota-500-orang
1348,1348,"Kriminal kemarin, saksi di sidang AG hingga kasus kecelakaan di Jaksel",Metro,https://www.antaranews.com/berita/3472782/kriminal-kemarin-saksi-di-sidang-ag-hingga-kasus-kecelakaan-di-jaksel
1349,1349,"Kereta tabrak derek di Belanda, 1 tewas dan 30 luka-luka",Dunia,https://www.antaranews.com/video/3472446/kereta-tabrak-derek-di-belanda-1-tewas-dan-30-luka-luka
1350,1350,"Tabrakan kapal di perairan Bengkalis, satu orang hilang",Humaniora,https://www.antaranews.com/berita/3472569/tabrakan-kapal-di-perairan-bengkalis-satu-orang-hilang
1351,1351,IDAI: Car seat bantu anak terhindar dari kelumpuhan selama perjalanan,Humaniora,https://www.antaranews.com/berita/3472452/idai-car-seat-bantu-anak-terhindar-dari-kelumpuhan-selama-perjalanan
1352,1352,KemenKopUKM minta pelaku UKM memiliki sertifikasi K3,Ekonomi,https://www.antaranews.com/berita/3472434/kemenkopukm-minta-pelaku-ukm-memiliki-sertifikasi-k3
1353,1353,IDAI tak anjurkan anak ikuti mudik gunakan kendaraan roda dua,Humaniora,https://www.antaranews.com/berita/3472380/idai-tak-anjurkan-anak-ikuti-mudik-gunakan-kendaraan-roda-dua
1354,1354,Dishub Probolinggo pasang palang pintu perlintasan KA jelang Lebaran,Ekonomi,https://www.antaranews.com/berita/3472362/dishub-probolinggo-pasang-palang-pintu-perlintasan-ka-jelang-lebaran
1355,1355,MTI usulkan kebijakan larangan mudik menggunakan motor,Ekonomi,https://www.antaranews.com/berita/3472320/mti-usulkan-kebijakan-larangan-mudik-menggunakan-motor
1356,1356,Polisi naikkan status penyidikan usai gelar perkara kecelakaan Ragunan,Metro,https://www.antaranews.com/berita/3472209/polisi-naikkan-status-penyidikan-usai-gelar-perkara-kecelakaan-ragunan
1357,1357,Ketua Umum PBNU minta masyarakat tak gunakan sepeda motor saat mudik,Humaniora,https://www.antaranews.com/berita/3472152/ketua-umum-pbnu-minta-masyarakat-tak-gunakan-sepeda-motor-saat-mudik
1358,1358,Polda Metro Jaya telah pegang CCTV dalam kasus kecelakaan di Jaksel,Metro,https://www.antaranews.com/berita/3472146/polda-metro-jaya-telah-pegang-cctv-dalam-kasus-kecelakaan-di-jaksel
1359,1359,Gelar perkara kecelakaan Mercy dilakukan tertutup selama tiga jam,Metro,https://www.antaranews.com/berita/3471942/gelar-perkara-kecelakaan-mercy-dilakukan-tertutup-selama-tiga-jam
1360,1360,Kombes Abu Bakar Tertusi serahkan kasus anaknya kepada polisi,Metro,https://www.antaranews.com/berita/3471915/kombes-abu-bakar-tertusi-serahkan-kasus-anaknya-kepada-polisi
1361,1361,Pelajar di Tangerang tewas terlindas truk trailer,Hukum,https://www.antaranews.com/berita/3471852/pelajar-di-tangerang-tewas-terlindas-truk-trailer
1362,1362,Kecelakaan kereta penumpang di Belanda,Dunia,https://www.antaranews.com/foto/3471819/kecelakaan-kereta-penumpang-di-belanda
1363,1363,Pekerja migran Indonesia belajar pemulasaraan jenazah secara Islami,Dunia,https://www.antaranews.com/berita/3471651/pekerja-migran-indonesia-belajar-pemulasaraan-jenazah-secara-islami
1364,1364,KBRI: Tidak ada WNI jadi korban kecelakaan kereta di Belanda,Dunia,https://www.antaranews.com/berita/3471648/kbri-tidak-ada-wni-jadi-korban-kecelakaan-kereta-di-belanda
1365,1365,"IDAI: Perhatikan keamanan ketika mudik, cegah kematian anak meningkat",Humaniora,https://ramadhan.antaranews.com/berita/3471645/idai-perhatikan-keamanan-ketika-mudik-cegah-kematian-anak-meningkat
1366,1366,"Dishub perkirakan 3,8 juta orang Lampung mudik Lebaran tahun ini",Ekonomi,https://www.antaranews.com/berita/3471522/dishub-perkirakan-38-juta-orang-lampung-mudik-lebaran-tahun-ini
1367,1367,"Bikin aplikasi untuk nelayan, ITS raih penghargaan internasional",Humaniora,https://www.antaranews.com/berita/3471465/bikin-aplikasi-untuk-nelayan-its-raih-penghargaan-internasional
1368,1368,"Jabar gelar mudik gratis, tersedia 6.500 tiket bus & 5.954 tiket KA",Ekonomi,https://www.antaranews.com/berita/3471444/jabar-gelar-mudik-gratis-tersedia-6500-tiket-bus-5954-tiket-ka
1369,1369,Polda Jabar olah TKP kecelakaan mobil dinas Bupati Kuningan,Hukum,https://www.antaranews.com/berita/3471432/polda-jabar-olah-tkp-kecelakaan-mobil-dinas-bupati-kuningan
1370,1370,Puluhan orang terluka dalam kecelakaan kereta di Belanda,Dunia,https://www.antaranews.com/berita/3471144/puluhan-orang-terluka-dalam-kecelakaan-kereta-di-belanda
1371,1371,Tips aman berkendara saat sedang berpuasa,Otomotif,https://otomotif.antaranews.com/berita/3470913/tips-aman-berkendara-saat-sedang-berpuasa
1372,1372,"Asuransi Astra peroleh peringkat kredit ""Excellent""",Otomotif,https://otomotif.antaranews.com/berita/3470829/asuransi-astra-peroleh-peringkat-kredit-excellent
1373,1373,"Terkena api saat konser, Jaehyuk TREASURE ungkap kondisi terkini",Hiburan,https://www.antaranews.com/berita/3470796/terkena-api-saat-konser-jaehyuk-treasure-ungkap-kondisi-terkini
1374,1374,"Saham Jerman hentikan untung beruntun, indeks DAX 40 jatuh 0,31 persen",Ekonomi,https://www.antaranews.com/berita/3470745/saham-jerman-hentikan-untung-beruntun-indeks-dax-40-jatuh-031-persen
1375,1375,Sandiaga minta masyarakat yang mudik berkontribusi ke ekonomi lokal,Ekonomi,https://www.antaranews.com/berita/3470676/sandiaga-minta-masyarakat-yang-mudik-berkontribusi-ke-ekonomi-lokal
1376,1376,KNKT sebut 2 karakter bus pariwisata yang kerap alami kecelakaan,Ekonomi,https://www.antaranews.com/berita/3470583/knkt-sebut-2-karakter-bus-pariwisata-yang-kerap-alami-kecelakaan
1377,1377,Polri sebut usia 15-19 tahun paling banyak terlibat kecelakaan,Humaniora,https://www.antaranews.com/berita/3470562/polri-sebut-usia-15-19-tahun-paling-banyak-terlibat-kecelakaan
1378,1378,"Kendaraan Bupati Kuningan kecelakaan, dua korban meninggal dunia",Humaniora,https://www.antaranews.com/video/3470394/kendaraan-bupati-kuningan-kecelakaan-dua-korban-meninggal-dunia
1379,1379,Polisi laksanakan gelar perkara kecelakaan pelajar di Jaksel besok,Metro,https://www.antaranews.com/berita/3470469/polisi-laksanakan-gelar-perkara-kecelakaan-pelajar-di-jaksel-besok
1380,1380,Komisi VII DPR soroti tewasnya tiga pekerja di PetroChina Jabung,Hukum,https://www.antaranews.com/berita/3470448/komisi-vii-dpr-soroti-tewasnya-tiga-pekerja-di-petrochina-jabung
1381,1381,Vinales dan Espargaro sebut MotoGP Argentina sangat menantang,Olahraga,https://www.antaranews.com/berita/3470433/vinales-dan-espargaro-sebut-motogp-argentina-sangat-menantang
1382,1382,Macron sebut akan ada RUU tentang eutanasia di Prancis tahun ini,Dunia,https://www.antaranews.com/berita/3470295/macron-sebut-akan-ada-ruu-tentang-eutanasia-di-prancis-tahun-ini
1383,1383,Produksi dan pengiriman Tesla capai rekor baru pada kuartal 1 2023,Otomotif,https://otomotif.antaranews.com/berita/3470274/produksi-dan-pengiriman-tesla-capai-rekor-baru-pada-kuartal-1-2023
1384,1384,Polisi tetapkan sopir Bupati Kuningan sebagai tersangka,Hukum,https://www.antaranews.com/berita/3470238/polisi-tetapkan-sopir-bupati-kuningan-sebagai-tersangka
1385,1385,"Mobil dinas Bupati Kuningan tabrak sepeda motor, tiga orang tewas",Humaniora,https://www.antaranews.com/berita/3470217/mobil-dinas-bupati-kuningan-tabrak-sepeda-motor-tiga-orang-tewas
1386,1386,Lini produksi Tesla Cybertruck hampir siap,Otomotif,https://otomotif.antaranews.com/berita/3470211/lini-produksi-tesla-cybertruck-hampir-siap
1387,1387,Pesantren Tebuireng proyek percontohan keselamatan berkendara,Humaniora,https://www.antaranews.com/berita/3470172/pesantren-tebuireng-proyek-percontohan-keselamatan-berkendara
1388,1388,Polres Kuningan: korban tewas kecelakaan mobil dinas bupati dua orang,Politik,https://www.antaranews.com/berita/3470157/polres-kuningan-korban-tewas-kecelakaan-mobil-dinas-bupati-dua-orang
1389,1389,Kemnaker: Permenaker 4/2023 tingkatkan perlindungan PMI,Humaniora,https://www.antaranews.com/berita/3470085/kemnaker-permenaker-4-2023-tingkatkan-perlindungan-pmi
1390,1390,Ira Riswana tak diperlakukan khusus terkait kasus anaknya,Metro,https://www.antaranews.com/berita/3470082/ira-riswana-tak-diperlakukan-khusus-terkait-kasus-anaknya
1391,1391,Polda-Basarnas siagakan personel SAR di Manokwari,Humaniora,https://www.antaranews.com/berita/3469842/polda-basarnas-siagakan-personel-sar-di-manokwari
1392,1392,Sukses Alex Marquez di Argentina diharapkan berlanjut di Amerika,Olahraga,https://www.antaranews.com/berita/3469818/sukses-alex-marquez-di-argentina-diharapkan-berlanjut-di-amerika
1393,1393,Polda Lampung siapkan 83 pos pada arus mudik Lebaran 2023,Hukum,https://www.antaranews.com/berita/3469689/polda-lampung-siapkan-83-pos-pada-arus-mudik-lebaran-2023
1394,1394,Bagnaia kesal karena kecelakaan di MotoGP Argentina,Olahraga,https://www.antaranews.com/berita/3469428/bagnaia-kesal-karena-kecelakaan-di-motogp-argentina
1395,1395,Sudinhub Jakbar imbau pemudik tidak gunakan terminal bayangan,Metro,https://www.antaranews.com/berita/3469416/sudinhub-jakbar-imbau-pemudik-tidak-gunakan-terminal-bayangan
1396,1396,Jasa Marga siap antisipasi kepadatan di Tol Layang MBZ selama Lebaran,Ekonomi,https://www.antaranews.com/berita/3469299/jasa-marga-siap-antisipasi-kepadatan-di-tol-layang-mbz-selama-lebaran
1397,1397,"Korsel, AS, Jepang gelar latihan maritim libatkan kapal induk",Dunia,https://www.antaranews.com/berita/3469146/korsel-as-jepang-gelar-latihan-maritim-libatkan-kapal-induk
1398,1398,Pakar UI: Pertamina perlu lakukan 5 langkah pasca ledakan kilang Dumai,Ekonomi,https://www.antaranews.com/berita/3469125/pakar-ui-pertamina-perlu-lakukan-5-langkah-pasca-ledakan-kilang-dumai
